"beta_max_aux","beta_aux","PI_aux","PI_bar_aux","rhoI_aux","tempI_aux","P_rel_aux","vel_rel_aux","Omega_aux","Aint_aux","ht_liq_aux","ht_gas_aux","EI_liq_aux","EI_gas_aux","mu_max_aux_l","kappa_max_aux_l","mu_aux_l","kappa_aux_l","jump_grad_press_aux_l","jump_grad_alpha_aux_l","jump_grad_dens_aux_l","smooth_jump_grad_press_aux_l","smooth_jump_grad_dens_aux_l","mu_max_aux_g","kappa_max_aux_g","mu_aux_g","kappa_aux_g","jump_grad_press_aux_g","jump_grad_dens_aux_g","smooth_jump_grad_press_aux_g","smooth_jump_grad_dens_aux_g","ObjectId","GlobalElementId","PedigreeElementId"
0.2656,0.012009,421709,421749,901.064,452.874,0.0673065,6.73595e+07,0,98055.1,0,0,767096,2.70493e+06,0.265603,8.34199,0.000437152,0.000437152,162694,0.0950169,13.0483,105298,6.52071,0.265748,2.45774,0.0181569,0.0181569,159589,0.359591,103609,0.306654,0,49,49
0.274104,0.0124548,389893,389933,901.052,452.866,0.0677618,6.37652e+07,0,98710.6,0,0,767152,2.705e+06,0.274107,8.35043,0.000452639,0.000452639,184991,0.0900564,13.104,96162,6.5351,0.274259,2.42952,0.0164994,0.0164994,185189,0.316249,95759.2,0.159701,0,50,50
0.282337,0.0126572,359040,359079,901.04,452.858,0.0681398,6.0096e+07,0,99253.6,0,0,767210,2.70508e+06,0.28234,8.35859,0.000468312,0.000468312,238714,0.08186,13.127,113501,6.55792,0.282498,2.40009,0.0160144,0.0160144,238593,0.105429,113408,0.0922978,0,51,51
0.290286,0.0126708,329315,329353,901.029,452.85,0.0684248,5.63752e+07,0,99661.1,0,0,767268,2.70516e+06,0.290289,8.36647,0.000483494,0.000483494,228009,0.0722928,13.1614,125892,6.5789,0.290455,2.36953,0.0166479,0.0166479,227091,0.12584,125346,0.0748151,0,52,52
0.297982,0.0108314,300680,300716,901.018,452.842,0.0685996,5.2602e+07,0,99908.3,0,0,767326,2.70524e+06,0.297986,8.3741,0.000498883,0.000498883,316766,0.0423333,13.1601,162069,6.60799,0.298158,2.33777,0.021977,0.021977,313131,0.401088,160731,0.235629,0,53,53
0.3053,0.00831405,273683,273717,901.008,452.835,0.0686488,4.88633e+07,0,99972.9,0,0,767385,2.70532e+06,0.305304,8.38135,0.000514436,0.000514436,484339,0.010385,13.2519,218030,6.64608,0.305478,2.30547,0.0318748,0.0318748,481394,1.29882,216860,0.545168,0,54,54
0.312035,0.0102758,249149,249181,900.998,452.829,0.0685626,4.52989e+07,0,99840.7,0,0,767441,2.70539e+06,0.312038,8.38803,0.000527696,0.000527696,488164,0.0281669,13.2747,220919,6.66519,0.312212,2.27379,0.03612,0.03612,489537,1.54888,221038,0.644935,0,55,55
0.318218,0.0131575,226995,227024,900.99,452.823,0.0683376,4.19292e+07,0,99507.2,0,0,767494,2.70546e+06,0.318222,8.39416,0.000539059,0.000539059,278417,0.0537271,13.2182,160482,6.66886,0.318397,2.24289,0.0294435,0.0294435,280559,0.70081,160979,0.399908,0,56,56
0.324124,0.0143253,206253,206282,900.982,452.818,0.0679652,3.86369e+07,0,98959.2,0,0,767547,2.70553e+06,0.324128,8.40002,0.000551189,0.000551189,209692,0.0584887,13.2668,125503,6.68994,0.324311,2.21163,0.025131,0.025131,207645,0.317364,124750,0.233913,0,57,57
0.329845,0.0113193,186617,186645,900.974,452.813,0.0674444,3.53976e+07,0,98195.5,0,0,767600,2.7056e+06,0.329849,8.4057,0.000563317,0.000563317,318059,0.029673,13.3291,157747,6.71247,0.330038,2.1797,0.0349698,0.0349698,313392,0.835968,155939,0.44931,0,58,58
0.335244,0.0091689,168564,168589,900.967,452.808,0.0667763,3.23059e+07,0,97217.7,0,0,767652,2.70566e+06,0.335248,8.41105,0.000573471,0.000573471,436791,0.00956936,13.3124,202626,6.71736,0.335438,2.148,0.0526392,0.0526392,433856,1.8266,201343,0.812764,0,59,59
0.340132,0.0319587,152655,152677,900.961,452.804,0.0659466,2.94658e+07,0,96005.3,0,0,767701,2.70572e+06,0.340136,8.41591,0.000583676,0.000583676,425337,0.181179,13.3479,190980,6.73045,0.340321,2.11779,0.0564423,0.0564423,426098,2.01106,190887,0.84957,0,60,60
0.3445,0.0386901,138855,138876,900.955,452.8,0.0650341,2.69258e+07,0,94673.1,0,0,767745,2.70578e+06,0.344504,8.42024,0.000593692,0.000593692,218723,0.227751,13.4632,138012,6.75535,0.344688,2.08954,0.045453,0.045453,219486,0.854415,138052,0.592555,0,61,61
0.348681,0.0170668,126095,126115,900.95,452.797,0.0640319,2.45302e+07,0,93210.6,0,0,767789,2.70583e+06,0.348684,8.42439,0.000602268,0.000602268,223094,0.0649708,13.5078,125045,6.76403,0.348873,2.06138,0.0483023,0.0483023,220663,1.01462,124455,0.583109,0,62,62
0.352631,0.0420426,114405,114423,900.946,452.794,0.0628591,2.22621e+07,0,91500,0,0,767831,2.70588e+06,0.352635,8.42832,0.000608844,0.000608844,334946,0.220659,13.5309,132365,6.7528,0.352821,2.03362,0.0583809,0.0583809,333736,1.89095,131910,0.721554,0,63,63
0.356102,0.0492517,104413,104430,900.942,452.792,0.0616726,2.02832e+07,0,89770.1,0,0,767870,2.70593e+06,0.356106,8.43176,0.000614703,0.000614703,183767,0.261504,13.5439,102473,6.74222,0.356288,2.00815,0.0528779,0.0528779,184735,0.98657,102385,0.609615,0,64,64
0.359374,0.0183434,95384.3,95399.7,900.939,452.789,0.0604639,1.84802e+07,0,88008.3,0,0,767907,2.70597e+06,0.359378,8.43502,0.000621743,0.000621743,142471,0.067049,13.6361,88121.2,6.75363,0.359562,1.98343,0.0531947,0.0531947,141320,0.749083,87684.5,0.560429,0,65,65
0.362471,0.0474767,87094.3,87108.5,900.935,452.787,0.0591016,1.67782e+07,0,86023.1,0,0,767943,2.70601e+06,0.362474,8.43809,0.000630665,0.000630665,249025,0.222,13.7734,99365.5,6.78661,0.362655,1.95909,0.0614908,0.0614908,247462,1.65362,98898.6,0.645053,0,66,66
0.365208,0.0547399,80031,80043.8,900.933,452.785,0.0577865,1.53119e+07,0,84107.1,0,0,767975,2.70605e+06,0.365212,8.44081,0.00063862,0.00063862,146277,0.256258,13.9093,80703.2,6.81941,0.365387,1.93699,0.0519875,0.0519875,147262,1.01474,80754.3,0.505028,0,67,67
0.36776,0.0160824,73696.9,73708.9,900.93,452.784,0.0565093,1.40006e+07,0,82246.4,0,0,768005,2.70609e+06,0.367764,8.44335,0.000645616,0.000645616,87235.6,0.0509834,13.9855,58892.1,6.84398,0.367941,1.91579,0.0423418,0.0423418,87274.3,0.564075,58854.9,0.356663,0,68,68
0.370237,0.0391902,67788.5,67799.9,900.928,452.782,0.0551108,1.27542e+07,0,80209.4,0,0,768035,2.70612e+06,0.37024,8.44582,0.000653043,0.000653043,138933,0.156886,14.0825,62619.6,6.87487,0.370419,1.8947,0.0503832,0.0503832,137280,0.950146,62348.8,0.425651,0,69,69
0.372494,0.0420862,62565.5,62575.8,900.926,452.781,0.0537801,1.16552e+07,0,78271.2,0,0,768063,2.70615e+06,0.372497,8.44806,0.000661716,0.000661716,133747,0.167737,14.1924,64403.3,6.92452,0.37267,1.8749,0.0609054,0.0609054,134526,1.03012,64556.7,0.517359,0,70,70
0.374545,0.00843492,58008.7,58018.5,900.924,452.78,0.0525152,1.06973e+07,0,76429.2,0,0,768089,2.70618e+06,0.374548,8.4501,0.000671058,0.000671058,112523,0.0152675,14.3348,56775.5,6.98924,0.374723,1.85663,0.0625168,0.0625168,113490,1.16589,56261.7,0.509175,0,71,71
0.376612,0.0247101,53587.4,53597.4,900.922,452.779,0.0511795,9.77012e+06,0,74484.1,0,0,768115,2.70621e+06,0.376616,8.45216,0.000679221,0.000679221,102059,0.0813141,14.4326,95115.7,7.03668,0.376805,1.8376,0.0924816,0.0924816,94562.2,0.792339,91504.8,0.725514,0,72,72
0.378714,0.0361405,49216.9,49224.4,900.92,452.778,0.049876,8.87471e+06,0,72585.9,0,0,768143,2.70624e+06,0.378717,8.45425,0.000688163,0.000688163,451062,0.124555,14.3458,251133,7.0948,0.378869,1.81822,0.212631,0.212631,435528,3.12918,243999,1.71825,0,73,73
0.379782,0.0670578,47016.4,47015.5,900.92,452.777,0.0486588,8.29336e+06,0,70813.8,0,0,768156,2.70625e+06,0.379784,8.45531,0.000697163,0.000697163,1.00968e+06,0.237141,14.6436,505071,7.1764,0.379763,1.81488,0.433647,0.433647,990907,6.74296,495268,3.15379,0,74,74
0.378294,0.160111,49735.3,49718.7,900.921,452.778,0.047676,8.35426e+06,0,69384.1,0,0,768137,2.70623e+06,0.378296,8.45383,0.000701017,0.000701017,1.56945e+06,0.576934,14.4239,811385,7.24839,0.377957,1.85234,0.650535,0.650535,1.54403e+06,8.62986,797188,4.33251,0,75,75
0.37267,0.231584,60036.2,60076.7,900.925,452.78,0.0473487,9.35767e+06,0,68909.7,0,0,768064,2.70615e+06,0.37267,8.44823,0.000686388,0.000686388,2.33604e+06,0.850534,14.6603,1.23891e+06,7.22863,0.37194,1.94782,0.81324,0.81324,2.29183e+06,10.6384,1.21125e+06,5.48698,0,76,76
